run,example_id,condition,n_words,n_ref_tokens,distinct_3,max_repeat_run,top_trigram_share,unclosed_think,ppl,hit_token_cap,logged_degenerate_flag,think_fail,distinct_fail,repeat_fail,ppl_fail,coherent
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-92,steered_pos,91,91,0.8876,1,0.0337,0,nan,0,0,0,0,0,0,1
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-92,steered_neg,105,105,0.8932,1,0.0291,0,nan,0,0,0,0,0,0,1
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-97,initial,102,102,1.0,1,0.01,1,nan,0,0,1,0,0,0,0
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-97,steered_pos,52,52,0.96,1,0.04,0,nan,0,0,0,0,0,0,1
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-97,steered_neg,85,85,1.0,1,0.012,0,nan,0,0,0,0,0,0,1
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-187,initial,101,101,1.0,1,0.0101,1,nan,0,0,1,0,0,0,0
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-187,steered_pos,27,27,1.0,1,0.04,0,nan,0,0,0,0,0,0,1
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-187,steered_neg,103,103,0.4455,1,0.0297,0,nan,0,0,0,1,0,0,0
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-58,initial,100,100,1.0,1,0.0102,1,nan,0,0,1,0,0,0,0
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-58,steered_pos,96,96,0.5745,1,0.0638,0,nan,0,0,0,0,0,0,1
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-58,steered_neg,110,110,0.8426,1,0.037,0,nan,0,0,0,0,0,0,1
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-93,initial,108,108,1.0,1,0.0094,1,nan,0,0,1,0,0,0,0
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-93,steered_pos,73,73,0.4085,1,0.0563,0,nan,0,0,0,1,0,0,0
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-93,steered_neg,111,111,0.9908,1,0.0183,0,nan,0,0,0,0,0,0,1
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-6,initial,102,102,1.0,1,0.01,1,nan,0,0,1,0,0,0,0
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-6,steered_pos,61,61,0.5254,1,0.0339,0,nan,0,0,0,0,0,0,1
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-6,steered_neg,104,104,1.0,1,0.0098,0,nan,0,0,0,0,0,0,1
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-70,initial,105,105,1.0,1,0.0097,1,nan,0,0,1,0,0,0,0
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-70,steered_pos,88,88,0.4884,1,0.0465,1,nan,0,0,1,1,0,0,0
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-70,steered_neg,108,108,1.0,1,0.0094,0,nan,0,0,0,0,0,0,1
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-106,initial,105,105,0.9806,1,0.0194,1,nan,0,0,1,0,0,0,0
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-106,steered_pos,86,86,0.8214,1,0.0238,0,nan,0,0,0,0,0,0,1
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-106,steered_neg,99,99,0.5567,1,0.0206,0,nan,0,0,0,0,0,0,1
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-68,initial,102,102,1.0,1,0.01,1,nan,0,0,1,0,0,0,0
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-68,steered_pos,93,93,0.3626,1,0.0659,1,nan,0,0,1,1,0,0,0
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-68,steered_neg,110,110,0.9907,1,0.0185,0,nan,0,0,0,0,0,0,1
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-153,initial,108,108,0.9906,1,0.0189,1,nan,0,0,1,0,0,0,0
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-153,steered_pos,102,102,0.5,1,0.03,1,nan,0,0,1,0,0,0,0
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-153,steered_neg,107,107,0.7238,1,0.019,0,nan,0,0,0,0,0,0,1
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-168,initial,105,105,1.0,1,0.0097,1,nan,0,0,1,0,0,0,0
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-168,steered_pos,66,66,0.3281,1,0.0938,1,nan,0,0,1,1,0,0,0
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-168,steered_neg,105,105,0.9612,1,0.0194,0,nan,0,0,0,0,0,0,1
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-179,initial,110,110,0.9815,1,0.0185,1,nan,0,0,1,0,0,0,0
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-179,steered_pos,91,91,0.236,1,0.1011,0,nan,0,0,0,1,0,0,0
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-179,steered_neg,103,103,0.6238,1,0.3762,0,nan,0,0,0,0,0,0,1
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-199,initial,104,104,1.0,1,0.0098,1,nan,0,0,1,0,0,0,0
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-199,steered_pos,14,14,1.0,1,0.0833,0,nan,0,0,0,0,0,0,1
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-199,steered_neg,116,116,0.9474,1,0.0263,0,nan,0,0,0,0,0,0,1
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-29,initial,104,104,0.9902,1,0.0196,1,nan,0,0,1,0,0,0,0
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-29,steered_pos,54,54,0.8846,1,0.0385,0,nan,0,0,0,0,0,0,1
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-29,steered_neg,103,103,0.9901,1,0.0198,0,nan,0,0,0,0,0,0,1
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-46,initial,109,109,1.0,1,0.0093,1,nan,0,0,1,0,0,0,0
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-46,steered_pos,59,59,0.7368,1,0.0351,0,nan,0,0,0,0,0,0,1
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-46,steered_neg,111,111,0.9633,1,0.0183,0,nan,0,0,0,0,0,0,1
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-9,initial,108,108,1.0,1,0.0094,1,nan,0,0,1,0,0,0,0
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-9,steered_pos,98,98,0.4792,1,0.0938,1,nan,0,0,1,1,0,0,0
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-9,steered_neg,103,103,0.8911,1,0.0198,0,nan,0,0,0,0,0,0,1
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-142,initial,108,108,0.9811,1,0.0189,1,nan,0,0,1,0,0,0,0
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-142,steered_pos,109,109,0.1308,1,0.1495,0,nan,0,0,0,1,0,0,0
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-142,steered_neg,105,105,0.9417,1,0.0388,0,nan,0,0,0,0,0,0,1
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-134,initial,101,101,1.0,1,0.0101,1,nan,0,0,1,0,0,0,0
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-134,steered_pos,40,40,0.9737,1,0.0526,0,nan,0,0,0,0,0,0,1
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-134,steered_neg,112,112,0.9364,1,0.0182,0,nan,0,0,0,0,0,0,1
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-88,initial,105,105,1.0,1,0.0097,1,nan,0,0,1,0,0,0,0
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-88,steered_pos,97,97,0.9474,1,0.0316,1,nan,0,0,1,0,0,0,0
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-88,steered_neg,102,102,0.99,1,0.02,0,nan,0,0,0,0,0,0,1
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-193,initial,111,111,0.9541,1,0.0183,1,nan,0,0,1,0,0,0,0
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-193,steered_pos,65,65,0.6984,1,0.0476,0,nan,0,0,0,0,0,0,1
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-193,steered_neg,111,111,0.9908,1,0.0183,0,nan,0,0,0,0,0,0,1
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-110,initial,108,108,0.9811,1,0.0189,1,nan,0,0,1,0,0,0,0
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-110,steered_pos,85,85,0.6506,1,0.0361,0,nan,0,0,0,0,0,0,1
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-110,steered_neg,100,100,0.9592,1,0.0204,0,nan,0,0,0,0,0,0,1
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-26,initial,103,103,0.9802,1,0.0198,1,nan,0,0,1,0,0,0,0
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-26,steered_pos,93,93,0.7692,1,0.033,0,nan,0,0,0,0,0,0,1
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-26,steered_neg,114,114,0.7679,1,0.0268,0,nan,0,0,0,0,0,0,1
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-32,initial,108,108,0.9717,1,0.0189,1,nan,0,0,1,0,0,0,0
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-32,steered_pos,81,81,0.3544,1,0.0886,0,nan,0,0,0,1,0,0,0
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-32,steered_neg,94,94,0.837,1,0.0217,0,nan,0,0,0,0,0,0,1
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-117,initial,98,98,0.9583,1,0.0208,1,nan,0,0,1,0,0,0,0
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-117,steered_pos,27,27,1.0,1,0.04,0,nan,0,0,0,0,0,0,1
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-117,steered_neg,107,107,0.1333,1,0.1905,0,nan,0,0,0,1,0,0,0
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-112,initial,106,106,0.9712,1,0.0192,1,nan,0,0,1,0,0,0,0
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-112,steered_pos,109,109,0.1308,1,0.1495,0,nan,0,0,0,1,0,0,0
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-112,steered_neg,103,103,0.9505,1,0.0198,0,nan,0,0,0,0,0,0,1
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-17,initial,85,85,0.988,1,0.0241,1,nan,0,0,1,0,0,0,0
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-17,steered_pos,79,79,0.3506,1,0.0519,0,nan,0,0,0,1,0,0,0
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-17,steered_neg,109,109,0.5794,1,0.0187,0,nan,0,0,0,0,0,0,1
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-39,initial,105,105,1.0,1,0.0097,1,nan,0,0,1,0,0,0,0
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-39,steered_pos,61,61,0.4068,1,0.1017,0,nan,0,0,0,1,0,0,0
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-39,steered_neg,110,110,0.9907,1,0.0185,0,nan,0,0,0,0,0,0,1
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-166,initial,105,105,0.9903,1,0.0194,1,nan,0,0,1,0,0,0,0
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-166,steered_pos,77,77,0.9733,1,0.0267,0,nan,0,0,0,0,0,0,1
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-166,steered_neg,109,109,0.9626,1,0.0187,0,nan,0,0,0,0,0,0,1
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-13,initial,107,107,0.9905,1,0.019,1,nan,0,0,1,0,0,0,0
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-13,steered_pos,103,103,0.3168,1,0.0495,1,nan,0,0,1,1,0,0,0
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-13,steered_neg,111,111,0.3945,1,0.0459,0,nan,0,0,0,1,0,0,0
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-94,initial,108,108,0.9811,1,0.0189,1,nan,0,0,1,0,0,0,0
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-94,steered_pos,35,35,1.0,1,0.0303,0,nan,0,0,0,0,0,0,1
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-94,steered_neg,113,113,0.955,1,0.018,0,nan,0,0,0,0,0,0,1
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-138,initial,109,109,1.0,1,0.0093,1,nan,0,0,1,0,0,0,0
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-138,steered_pos,84,84,1.0,1,0.0122,1,nan,0,0,1,0,0,0,0
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-138,steered_neg,111,111,0.4404,1,0.0459,0,nan,0,0,0,1,0,0,0
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-109,initial,101,101,1.0,1,0.0101,1,nan,0,0,1,0,0,0,0
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-109,steered_pos,80,80,0.8077,1,0.0385,1,nan,0,0,1,0,0,0,0
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-109,steered_neg,102,102,0.85,1,0.03,0,nan,0,0,0,0,0,0,1
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-147,initial,103,103,0.9901,1,0.0198,1,nan,0,0,1,0,0,0,0
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-147,steered_pos,85,85,0.759,1,0.0361,0,nan,0,0,0,0,0,0,1
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-147,steered_neg,104,104,0.9902,1,0.0196,0,nan,0,0,0,0,0,0,1
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-51,initial,99,99,0.9794,1,0.0206,1,nan,0,0,1,0,0,0,0
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-51,steered_pos,71,71,0.5362,1,0.029,0,nan,0,0,0,0,0,0,1
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-51,steered_neg,115,115,0.9558,1,0.0177,0,nan,0,0,0,0,0,0,1
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-101,initial,104,104,0.9902,1,0.0196,1,nan,0,0,1,0,0,0,0
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-101,steered_pos,79,79,0.4156,1,0.0519,0,nan,0,0,0,1,0,0,0
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-101,steered_neg,109,109,0.9907,1,0.0187,0,nan,0,0,0,0,0,0,1
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-59,initial,95,95,0.9892,1,0.0215,1,nan,0,0,1,0,0,0,0
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-59,steered_pos,62,62,0.5333,2,0.0333,0,nan,0,0,0,0,0,0,1
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-59,steered_neg,101,101,0.9899,1,0.0202,0,nan,0,0,0,0,0,0,1
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-188,initial,104,104,0.9902,1,0.0196,1,nan,0,0,1,0,0,0,0
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-188,steered_pos,35,35,1.0,1,0.0303,0,nan,0,0,0,0,0,0,1
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-188,steered_neg,103,103,0.9802,1,0.0198,0,nan,0,0,0,0,0,0,1
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-116,initial,103,103,0.9901,1,0.0198,1,nan,0,0,1,0,0,0,0
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-116,steered_pos,77,77,0.9467,1,0.0267,0,nan,0,0,0,0,0,0,1
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-116,steered_neg,111,111,0.7339,1,0.0183,0,nan,0,0,0,0,0,0,1
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-5,initial,108,108,1.0,1,0.0094,1,nan,0,0,1,0,0,0,0
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-5,steered_pos,102,102,0.82,1,0.02,0,nan,0,0,0,0,0,0,1
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-5,steered_neg,113,113,0.8198,1,0.027,0,nan,0,0,0,0,0,0,1
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-170,initial,108,108,1.0,1,0.0094,1,nan,0,0,1,0,0,0,0
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-170,steered_pos,64,64,0.4516,2,0.0645,0,nan,0,0,0,1,0,0,0
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-170,steered_neg,96,96,1.0,1,0.0106,0,nan,0,0,0,0,0,0,1
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-99,initial,104,104,1.0,1,0.0098,1,nan,0,0,1,0,0,0,0
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-99,steered_pos,91,91,0.4944,1,0.0449,0,nan,0,0,0,1,0,0,0
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-99,steered_neg,102,102,0.68,1,0.03,0,nan,0,0,0,0,0,0,1
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-100,initial,104,104,0.9902,1,0.0196,1,nan,0,0,1,0,0,0,0
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-100,steered_pos,47,47,0.6444,1,0.0444,0,nan,0,0,0,0,0,0,1
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-100,steered_neg,110,110,0.4074,1,0.0278,0,nan,0,0,0,1,0,0,0
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-167,initial,110,110,0.9907,1,0.0185,1,nan,0,0,1,0,0,0,0
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-167,steered_pos,22,22,1.0,1,0.05,0,nan,0,0,0,0,0,0,1
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-167,steered_neg,107,107,0.4095,1,0.0286,0,nan,0,0,0,1,0,0,0
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-180,initial,107,107,1.0,1,0.0095,1,nan,0,0,1,0,0,0,0
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-180,steered_pos,95,95,0.6344,1,0.043,1,nan,0,0,1,0,0,0,0
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-180,steered_neg,108,108,0.8302,1,0.0189,0,nan,0,0,0,0,0,0,1
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-146,initial,109,109,0.9907,1,0.0187,1,nan,0,0,1,0,0,0,0
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-146,steered_pos,106,106,0.6442,1,0.0865,0,nan,0,0,0,0,0,0,1
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-146,steered_neg,111,111,0.9083,1,0.0183,0,nan,0,0,0,0,0,0,1
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-65,initial,97,97,1.0,1,0.0105,1,nan,0,0,1,0,0,0,0
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-65,steered_pos,33,33,1.0,1,0.0323,0,nan,0,0,0,0,0,0,1
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-65,steered_neg,101,101,0.8182,1,0.0202,0,nan,0,0,0,0,0,0,1
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-1,initial,105,105,1.0,1,0.0097,1,nan,0,0,1,0,0,0,0
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-1,steered_pos,90,90,0.1477,1,0.1477,0,nan,0,0,0,1,0,0,0
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-1,steered_neg,108,108,0.9151,1,0.0189,0,nan,0,0,0,0,0,0,1
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-104,initial,107,107,1.0,1,0.0095,1,nan,0,0,1,0,0,0,0
